File Name,Metadata Field,Value
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Title,Open science en onderzoeksinformatie
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Creator (Author),"John Doove, Germaine Poot, Karin van Grieken, Gül Akcaova"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Date,No specific date mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Description,"The text describes the ambitions and initiatives related to open science and research information in the Netherlands, particularly in the context of higher education institutions (hbo). It mentions projects, platforms, and collaborations aimed at making research information open, accessible, and visible. It also discusses the role of SURF (a collaborative organization for ICT in Dutch education and research) in facilitating open science in hbo."
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Keywords,"Open science, onderzoeksinformatie, ambitie, hogescholen, SURF, project, NPPO, Knowledge Exchange, Persistent Identifiers, ORCID, roadmap"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Type,"Text (document, article)"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Identifier (DOI),No DOI provided
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Publisher,No specific publisher mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Rights,No specific rights mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Language,Dutch
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Format,Textual format (possibly in a digital document)
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Source,No specific source mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Relation,"Various projects and collaborations are mentioned, such as the relation between the Open Science and onderzoeksinformatie project and the NPPO project, and the relation between SURF and the ""Adviescollege Open Science in het hbo"" of the Vereniging Hogescholen."
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Coverage,"The text primarily focuses on open science and research information initiatives in the Netherlands, particularly in hbo (higher education). It also mentions European collaborations through Knowledge Exchange."
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Title,Open science en onderzoeksinformatie
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Creator (Author),"John Doove, Germaine Poot, Karin van Grieken, Gül Akcaova"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Date,No specific date mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Description,"The text describes the ambitions and initiatives related to open science and research information in the Netherlands, particularly in the context of higher education institutions (hbo). It mentions projects, platforms, and collaborations aimed at making research information open, accessible, and visible. It also discusses the role of SURF (a collaborative organization for ICT in Dutch education and research) in facilitating open science in hbo."
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Keywords,"Open science, onderzoeksinformatie, ambitie, hogescholen, SURF, project, NPPO, Knowledge Exchange, Persistent Identifiers, ORCID, roadmap"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Type,"Text (document, article)"
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Identifier (DOI),No DOI provided
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Publisher,No specific publisher mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Rights,No specific rights mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Language,Dutch
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Format,Textual format (possibly in a digital document)
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Source,No specific source mentioned
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Relation,"Various projects and collaborations are mentioned, such as the relation between the Open Science and onderzoeksinformatie project and the NPPO project, and the relation between SURF and the ""Adviescollege Open Science in het hbo"" of the Vereniging Hogescholen."
KRTINN-Openscienceenonderzoeksinformatie-060923-1508-1296.pdf,- Coverage,"The text primarily focuses on open science and research information initiatives in the Netherlands, particularly in hbo (higher education). It also mentions European collaborations through Knowledge Exchange."
